712349.916	271793.586	396.404
712356.892	271793.323	396.246
712353.377	271793.209	396.265
712356.937	271789.742	396.185
712353.592	271786.237	396.044
712349.91	271789.613	396.172
712353.463	271789.684	396.224
712350.06	271782.685	395.981
712346.485	271786.097	396.109
712346.326	271793.02	396.307
712346.3	271789.559	396.18
712350.017	271786.185	396.071
712342.759	271789.476	396.203
712346.508	271782.521	395.97
712342.869	271785.928	396.134
712339.365	271785.852	396.101
712342.993	271782.385	396.145
712346.577	271779.02	395.958
